display  D   display_settings.c:191  debug_display_settings           [   0.11116] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11117] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11118] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11119] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11119] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11120] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11121] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11122] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11122] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11123] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11124] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11125] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11126] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11126] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11127] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11128] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11129] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11130] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11130] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11131] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11132] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11133] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11133] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11134] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11135] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11136] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11136] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11137] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11140] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11142] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11142] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11143] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11144] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11145] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11145] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11146] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11147] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11148] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11149] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11149] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11150] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11151] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11152] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11153] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11153] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11154] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11155] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11156] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11156] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11157] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11158] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11159] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11159] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11160] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11161] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11162] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11163] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11163] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11164] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11165] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11166] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11167] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11167] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11168] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11169] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11170] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11170] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11171] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11172] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11173] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11174] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11174] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11175] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11176] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11177] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11177] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.11178] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11179] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.11180] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11180] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.11181] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11182] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11183] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11183] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11184] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11185] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.11186] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11187] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.11187] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11188] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.11189] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11190] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11191] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11191] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11192] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11193] Score is : 598
